Annual Tuition Fee*,Course Duration,Course Credits,Delivery Medium,Course Link,Tuition Link,Application Fee,Application Link
"$13,629",24 Months,30,On Campus,https://cs.sdsu.edu/graduate-program/,https://bfa.sdsu.edu/financial/student/tuition.aspx,$70,https://calstate.liaisoncas.com/applicant-ux/#/login
"$27,000",24 Months,30,On Campus,https://engineering.tamu.edu/cse/academics/degrees/graduate/ms-ce.html,https://engineering.tamu.edu/etid/metm/tuition-fees.html,$90,https://engineeringcas.liaisoncas.org/apply/
"$14,910",24 Months,30,On Campus,https://business.sdsu.edu/grad/mscm,https://bfa.sdsu.edu/financial/student/tuition.aspx,$70,https://calstate.liaisoncas.com/applicant-ux/#/login
"$18,711",24 Months,30,On Campus,https://engineering.tamu.edu/civil/academics/degrees/graduate/master-of-science.html,https://tuition.tamu.edu/?_ga=2.232592799.1896029571.1582095322-1255318731.1579249144,$90,http://engineeringcas.liaisoncas.org/apply/
"$50,068",21 Months,36,On Campus,https://mays.tamu.edu/ms-management-information-systems/,https://mays.tamu.edu/ms-management-information-systems/tuition-and-fees/,$90,https://businesscas2021.liaisoncas.com/applicant-ux/#/login
"$24,948",18 Months,30,On Campus,https://engineering.tamu.edu/industrial/academics/degrees/graduate/ms-ie.html,https://tuition.tamu.edu/?_gl=1*45yws2*_ga*MTc0NDgyNzcyLjE2MjQ2MjcxNzc.*_ga_SJ5GMN0ZQL*MTYyNjE1MjA1Mi40LjEuMTYyNjE1MjA4Mi4zMA..*_ga_PBV6K94CC1*MTYyNjE1MjA1Mi40LjEuMTYyNjE1MjA4Mi4zMA..&_ga=2.236113153.1465622597.1626008446-174482772.1624627177,$90,https://engineeringcas2019.liaisoncas.com/applicant-ux/#/login
"$17,072",24 Months,32,On Campus,https://engineering.tamu.edu/mechanical/academics/degrees/graduate/ms.html,https://tuition.tamu.edu/,$90,https://engineeringcas2021.liaisoncas.com/applicant-ux/#/login
"$1,24,032",3 Months,33,On Campus,https://aerospace.sdsu.edu/academics/masters_program/masters,https://bfa.sdsu.edu/financial/student/tuition.aspx,$70,https://calstate2020.liaisoncas.com/applicant-ux/#/login
"$16,698",18 Months,30,On Campus,https://electrical.sdsu.edu/graduate/msee,https://dev-admissions.sdsu.edu/cost,$70,https://www2.calstate.edu/apply
"$18,401",24 Months,30,On Campus,https://big.sdsu.edu/,https://big.sdsu.edu/admissions,$70,https://calstate.liaisoncas.com/applicant-ux/#/login
"$17,073",24 Months,30,On Campus,https://engineering.tamu.edu/civil/academics/degrees/specialties/construction.html,https://financialaid.tamu.edu/Graduate/COA#0-CollegeStationGraduateStudents,$90,https://engineeringcas2021.liaisoncas.com/applicant-ux/#/login
"$25,780",18 Months,30,On Campus,https://engineering.tamu.edu/cse/academics/degrees/graduate/mcs.html,https://tuition.tamu.edu/,$90,https://engineeringcas2019.liaisoncas.com/applicant-ux/#/login
"$19,952",24 Months,32,On Campus,https://engineering.tamu.edu/chemical/academics/degrees/graduate/ms.html,https://tuition.tamu.edu/,$90,https://engineeringcas2021.liaisoncas.com/applicant-ux/#/login
