university_name,course_name,Annual Tuition Fee*,Course Duration,Course Credits,Delivery Medium,Course Link,Application Fee,Yocketers have applied,Yocketers got admits,Yocketers are interested,GRE,TOEFL,IELTS,Application Link,Tuition Link
san-diego-state-university,computer-science-2192,"$13,629 ",24 Months,30,On Campus,https://cs.sdsu.edu/graduate-program/,$70 ,702,150,"1,633",311,94,7,https://calstate.liaisoncas.com/applicant-ux/#/login,https://bfa.sdsu.edu/financial/student/tuition.aspx
texas-a-and-m-university-college-station,computer-engineering-46155,"$27,000 ",24 Months,30,On Campus,https://engineering.tamu.edu/cse/academics/degrees/graduate/ms-ce.html,$90 ,290,109,657,320,106,8,https://engineeringcas.liaisoncas.org/apply/,https://engineering.tamu.edu/etid/metm/tuition-fees.html
san-diego-state-university,aerospace-engineering-2190,"$1,24,032",3 Months,33,On Campus,https://aerospace.sdsu.edu/academics/masters_program/masters,$70 ,2,2,9,310,102,,https://calstate2020.liaisoncas.com/applicant-ux/#/login,https://bfa.sdsu.edu/financial/student/tuition.aspx
san-diego-state-university,cybersecurity-management-68764,"$14,910 ",24 Months,30,On Campus,https://business.sdsu.edu/grad/mscm,$70 ,1,1,4,308,7,,https://calstate.liaisoncas.com/applicant-ux/#/login,https://bfa.sdsu.edu/financial/student/tuition.aspx
texas-a-and-m-university-college-station,civil-engineering-43,"$18,711 ",24 Months,30,On Campus,https://engineering.tamu.edu/civil/academics/degrees/graduate/master-of-science.html,$90 ,397,161,423,318,106,7,http://engineeringcas.liaisoncas.org/apply/,https://tuition.tamu.edu/?_ga=2.232592799.1896029571.1582095322-1255318731.1579249144
san-diego-state-university,electrical-engineering-2193,"$16,698 ",18 Months,30,On Campus,https://electrical.sdsu.edu/graduate/msee,$70 ,204,148,135,307,94,7,https://www2.calstate.edu/apply,https://dev-admissions.sdsu.edu/cost
texas-a-and-m-university-college-station,industrial-engineering-46,"$24,948 ",18 Months,30,On Campus,https://engineering.tamu.edu/industrial/academics/degrees/graduate/ms-ie.html,$90 ,670,304,591,319,104,7,https://engineeringcas2019.liaisoncas.com/applicant-ux/#/login,https://tuition.tamu.edu/?_gl=1*45yws2*_ga*MTc0NDgyNzcyLjE2MjQ2MjcxNzc.*_ga_SJ5GMN0ZQL*MTYyNjE1MjA1Mi40LjEuMTYyNjE1MjA4Mi4zMA..*_ga_PBV6K94CC1*MTYyNjE1MjA1Mi40LjEuMTYyNjE1MjA4Mi4zMA..&_ga=2.236113153.1465622597.1626008446-174482772.1624627177
san-diego-state-university,big-data-analytics-57960,"$18,401 ",24 Months,30,On Campus,https://big.sdsu.edu/,$70 ,48,25,92,309,93,8,https://calstate.liaisoncas.com/applicant-ux/#/login,https://big.sdsu.edu/admissions
texas-a-and-m-university-college-station,mechanical-engineering-47,"$17,072 ",24 Months,32,On Campus,https://engineering.tamu.edu/mechanical/academics/degrees/graduate/ms.html,$90 ,505,124,926,321,106,8,https://engineeringcas2021.liaisoncas.com/applicant-ux/#/login,https://tuition.tamu.edu/
texas-a-and-m-university-college-station,computer-science-66906,"$25,780 ",18 Months,30,On Campus,https://engineering.tamu.edu/cse/academics/degrees/graduate/mcs.html,$90 ,79,12,146,322,111,8,https://engineeringcas2019.liaisoncas.com/applicant-ux/#/login,https://tuition.tamu.edu/
texas-a-and-m-university-college-station,construction-management-51561,"$17,073 ",24 Months,30,On Campus,https://engineering.tamu.edu/civil/academics/degrees/specialties/construction.html,$90 ,85,60,160,309,100,7,https://engineeringcas2021.liaisoncas.com/applicant-ux/#/login,https://financialaid.tamu.edu/Graduate/COA#0-CollegeStationGraduateStudents
texas-a-and-m-university-college-station,chemical-engineering-42,"$19,952 ",24 Months,32,On Campus,https://engineering.tamu.edu/chemical/academics/degrees/graduate/ms.html,$90 ,79,31,120,323,107,8,https://engineeringcas2021.liaisoncas.com/applicant-ux/#/login,https://tuition.tamu.edu/
texas-a-and-m-university-college-station,analytics-66857,"$32,500 ",24 Months,36,On Campus,https://mays.tamu.edu/ms-analytics/,$90 ,1,1,54,318,108,,https://app.applyyourself.com/AYApplicantLogin/fl_ApplicantLogin.asp?id=tamu-ms,https://mays.tamu.edu/ms-analytics/cost/
texas-a-and-m-university-college-station,biomedical-engineering-48,"$19,547 ",24 Months,32,On Campus,https://engineering.tamu.edu/biomedical/academics/degrees/graduate/ms.html,$90 ,39,9,69,309,108,5,https://engineeringcas2021.liaisoncas.com/applicant-ux/#/login,https://tuition.tamu.edu/?_ga=2.232592799.1896029571.1582095322-1255318731.1579249144
texas-a-and-m-university-college-station,electrical-engineering--thesis-58526,"$18,744 ",18 Months,32,On Campus,https://engineering.tamu.edu/electrical/academics/degrees/graduate/ms-elen.html,$90 ,77,29,100,316,108,7,https://engineeringcas.liaisoncas.org/apply/,https://tuition.tamu.edu/?_ga=2.187161003.2076416492.1627189856-174482772.1624627177&_gl=1*1lhl996*_ga*MTc0NDgyNzcyLjE2MjQ2MjcxNzc.*_ga_SJ5GMN0ZQL*MTYyNzM1MDAzMS42LjAuMTYyNzM1MDAzMS42MA..*_ga_PBV6K94CC1*MTYyNzM1MDAzMS42LjAuMTYyNzM1MDAzMS42MA..
texas-a-and-m-university-college-station,data-science-78440,"$19,188 ",18 Months,30,On Campus,https://tamids.tamu.edu/msds/,$90 ,,,,,,,https://texasam2021.liaisoncas.com/applicant-ux/#/login,https://tuition.tamu.edu/
texas-a-and-m-university-college-station,biotechnology-51568,"$18,147 ",24 Months,39,On Campus,https://mbiot.tamu.edu/About-Us/About-the-Master-of-Biotechnology-Degree,$90 ,14,14,45,307,90,7,http://engineeringcas.liaisoncas.org/apply/,https://tuition.tamu.edu/?_ga=2.232592799.1896029571.1582095322-1255318731.1579249144
texas-a-and-m-university-college-station,industrial-engineering-66910,"$24,433 ",18 Months,30,On Campus,https://engineering.tamu.edu/industrial/academics/degrees/graduate/meng-ie.html#me,$90 ,19,11,26,315,107,7,https://engineeringcas2021.liaisoncas.com/applicant-ux/#/login,http://tuition.tamu.edu/?_gl=1*kceky3*_ga*MTc0NDgyNzcyLjE2MjQ2MjcxNzc.*_ga_SJ5GMN0ZQL*MTYyNzE4OTg1NS41LjAuMTYyNzE4OTg1NS42MA..*_ga_PBV6K94CC1*MTYyNzE4OTg1NS41LjAuMTYyNzE4OTg1NS42MA..&_ga=2.94697887.2076416492.1627189856-174482772.1624627177
texas-a-and-m-university-college-station,engineering-(cybersecurity)-62369,"$27,000 ",24 Months,30,On Campus,https://engineering.tamu.edu/mtde/academics/degrees/graduate/mse-cybersecurity/index.html,$90 ,4,2,37,309,91,,http://engineeringcas.liaisoncas.org/apply/,https://engineering.tamu.edu/etid/metm/tuition-fees.html
texas-a-and-m-university-college-station,computer-engineering-66907,"$14,231 ",24 Months,30,On Campus,https://engineering.tamu.edu/cse/academics/degrees/graduate/meng.html,$90 ,10,1,16,322,110,,https://engineeringcas2021.liaisoncas.com/applicant-ux/#/login,https://tuition.tamu.edu/?_ga=2.232592799.1896029571.1582095322-1255318731.1579249144
texas-a-and-m-university-college-station,public-health-52178,"$15,275 ",24 Months,45,On Campus,https://public-health.tamu.edu/degrees/mph/index.html,$90 ,5,5,13,304,106,7,https://sophas.liaisoncas.com/applicant-ux/#/login,https://financialaid.tamu.edu/Graduate/COA#0-PublicHealthStudents
texas-a-and-m-university-college-station,mechanical-engineering--non-thesis-66919,"$31,648 ",12 Months,30,On Campus,https://engineering.tamu.edu/mechanical/academics/degrees/graduate/meng.html,$90 ,9,4,10,326,107,8,https://texasam2021.liaisoncas.com/applicant-ux/#/login,https://tuition.tamu.edu/
texas-a-and-m-university-college-station,business-62533,"$55,978 ",11 Months,36,On Campus,https://mays.tamu.edu/ms-business/,NA,1,1,6,,,,https://businesscas2021.liaisoncas.com/applicant-ux/#/login,https://mays.tamu.edu/ms-business/tuition-and-fees/
texas-a-and-m-university-college-station,mba-55973,"$58,745 ",18 Months,49,On Campus,https://mays.tamu.edu/full-time-mba/,$90 ,1,1,15,88,,,https://businesscas2021.liaisoncas.com/applicant-ux/#/login,https://mays.tamu.edu/full-time-mba/pricing/
texas-a-and-m-university-college-station,electrical-engineering-66908,"$17,044 ",24 Months,30,On Campus,https://engineering.tamu.edu/electrical/academics/degrees/graduate/meng-elen.html,$90 ,6,3,7,315,107,,http://engineeringcas.liaisoncas.org/apply/,https://tuition.tamu.edu/?_ga=2.232592799.1896029571.1582095322-1255318731.1579249145
